"","pmax","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"126",4.2751677852349,"bare",NA,NA,0,NA,NA,0.95,NA,NA,0,NA,NA,1387.32,NA,NA,1.46
"127",4.30536912751678,"bare",NA,NA,0,NA,NA,0.96,NA,NA,0,NA,NA,1397.12,NA,NA,1.47
"128",4.33557046979866,"bare",NA,NA,0,NA,NA,0.96,NA,NA,0,NA,NA,1406.93,NA,NA,1.47
"129",4.36577181208054,"bare",NA,NA,0,NA,NA,0.97,NA,NA,0,NA,NA,1416.74,NA,NA,1.48
"130",4.39597315436242,"bare",NA,NA,0,NA,NA,0.98,NA,NA,0,NA,NA,1426.55,NA,NA,1.48
"131",4.4261744966443,"bare",NA,NA,0,NA,NA,0.98,NA,NA,0,NA,NA,1436.35,NA,NA,1.49
"132",4.45637583892617,"bare",NA,NA,0,NA,NA,0.99,NA,NA,0,NA,NA,1446.16,NA,NA,1.5
"133",4.48657718120805,"bare",NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,1455.97,NA,NA,1.5
"134",4.51677852348993,"bare",NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,1465.78,NA,NA,1.51
"135",4.54697986577181,"bare",NA,NA,0,NA,NA,1.01,NA,NA,0,NA,NA,1475.59,NA,NA,1.52
"136",4.57718120805369,"bare",NA,NA,0,NA,NA,1.02,NA,NA,0,NA,NA,1485.4,NA,NA,1.52
"137",4.60738255033557,"bare",NA,NA,0,NA,NA,1.02,NA,NA,0,NA,NA,1495.2,NA,NA,1.53
"138",4.63758389261745,"bare",NA,NA,0,NA,NA,1.03,NA,NA,0,NA,NA,1505.01,NA,NA,1.53
"139",4.66778523489933,"bare",NA,NA,0,NA,NA,1.04,NA,NA,0,NA,NA,1514.82,NA,NA,1.54
"140",4.69798657718121,"bare",NA,NA,0,NA,NA,1.04,NA,NA,0,NA,NA,1524.63,NA,NA,1.55
"141",4.72818791946309,"bare",NA,NA,0,NA,NA,1.05,NA,NA,0,NA,NA,1534.44,NA,NA,1.55
"142",4.75838926174497,"bare",NA,NA,0,NA,NA,1.06,NA,NA,0,NA,NA,1544.25,NA,NA,1.56
"143",4.78859060402685,"bare",NA,NA,0,NA,NA,1.06,NA,NA,0,NA,NA,1554.06,NA,NA,1.56
"144",4.81879194630872,"bare",NA,NA,0,NA,NA,1.07,NA,NA,0,NA,NA,1563.87,NA,NA,1.57
"145",4.8489932885906,"bare",NA,NA,0,NA,NA,1.08,NA,NA,0,NA,NA,1573.68,NA,NA,1.58
"146",4.87919463087248,"bare",NA,NA,0,NA,NA,1.08,NA,NA,0,NA,NA,1583.49,NA,NA,1.58
"147",4.90939597315436,"bare",NA,NA,0,NA,NA,1.09,NA,NA,0,NA,NA,1593.3,NA,NA,1.59
"148",4.93959731543624,"bare",NA,NA,0,NA,NA,1.1,NA,NA,0,NA,NA,1603.11,NA,NA,1.6
"149",4.96979865771812,"bare",NA,NA,0,NA,NA,1.1,NA,NA,0,NA,NA,1612.92,NA,NA,1.6
"150",5,"bare",NA,NA,0,NA,NA,1.11,NA,NA,0,NA,NA,1622.72,NA,NA,1.61
