"pmax","ma","temp","pattern","lag"
947.367123287671,210.52602739726,0,"--",119.717808219178
894.73698630137,210.52602739726,0,"--",123.495890410959
842.104109589041,210.52602739726,0,"--",127.652054794521
789.47397260274,210.52602739726,0,"--",132.306849315068
736.841095890411,210.52602739726,0,"--",137.608219178082
684.21095890411,210.52602739726,0,"--",143.794520547945
631.578082191781,210.52602739726,0,"--",151.178082191781
578.947945205479,210.52602739726,0,"--",160.290410958904
526.315068493151,210.52602739726,0,"--",172.147945205479
473.684931506849,210.52602739726,0,"--",189.265753424658
421.052054794521,210.52602739726,0,"--",223.432876712329
368.421917808219,210.52602739726,0,"--",300.38904109589
315.78904109589,210.52602739726,0,"--",331.350684931507
263.158904109589,210.52602739726,0,"--",349.057534246575
210.52602739726,210.52602739726,0,"--",361.671232876712
157.895890410959,210.52602739726,0,"--",371.92602739726
105.26301369863,210.52602739726,0,"-+",380.676712328767
52.6328767123288,210.52602739726,0,"-+",386.945205479452
0,210.52602739726,0,"--",371.578082191781
1000,157.895890410959,0,"--",108.772602739726
947.367123287671,157.895890410959,0,"--",112.731506849315
894.73698630137,157.895890410959,0,"--",117.01095890411
842.104109589041,157.895890410959,0,"--",121.676712328767
789.47397260274,157.895890410959,0,"--",126.73698630137
736.841095890411,157.895890410959,0,"--",132.005479452055
684.21095890411,157.895890410959,0,"--",137.547945205479
631.578082191781,157.895890410959,0,"--",143.742465753425
578.947945205479,157.895890410959,0,"--",151.07397260274
526.315068493151,157.895890410959,0,"--",160.27397260274
473.684931506849,157.895890410959,0,"--",172.742465753425
421.052054794521,157.895890410959,0,"--",192.493150684931
368.421917808219,157.895890410959,0,"--",255.857534246575
315.78904109589,157.895890410959,0,"--",313.084931506849
263.158904109589,157.895890410959,0,"--",337.912328767123
210.52602739726,157.895890410959,0,"--",353.438356164384
157.895890410959,157.895890410959,0,"--",365.293150684932
105.26301369863,157.895890410959,0,"-+",375.424657534247
52.6328767123288,157.895890410959,0,"-+",383.66301369863
0,157.895890410959,0,"--",371.575342465753
1000,105.26301369863,0,"--",101.076712328767
947.367123287671,105.26301369863,0,"--",104.665753424658
894.73698630137,105.26301369863,0,"--",108.528767123288
