"pmax","temp","ma","lag"
40880,324485,202940,773.764383561644
365,324485,202940,860.93698630137
365000,283970,202940,168.082191780822
324485,283970,202940,189.208219178082
283970,283970,202940,231.12602739726
243455,283970,202940,461.120547945205
202940,283970,202940,487.257534246575
162425,283970,202940,516.493150684931
121910,283970,202940,554.038356164384
81395,283970,202940,603.230136986301
40880,283970,202940,669.008219178082
365,283970,202940,756.104109589041
365000,243455,202940,150.035616438356
324485,243455,202940,164.819178082192
283970,243455,202940,187.780821917808
243455,243455,202940,240.501369863014
202940,243455,202940,387.928767123288
162425,243455,202940,417.539726027397
121910,243455,202940,452.906849315068
81395,243455,202940,500.230136986301
40880,243455,202940,564.986301369863
365,243455,202940,651.832876712329
365000,202940,202940,133.857534246575
324485,202940,202940,144.334246575342
283970,202940,202940,159.158904109589
243455,202940,202940,183.183561643836
202940,202940,202940,246.569863013699
162425,202940,202940,325.956164383562
121910,202940,202940,358.928767123288
81395,202940,202940,402.164383561644
40880,202940,202940,464.112328767123
365,202940,202940,549.838356164384
365000,162425,202940,119.676712328767
324485,162425,202940,126.783561643836
283970,162425,202940,136.405479452055
243455,162425,202940,150.435616438356
202940,162425,202940,174.120547945205
162425,162425,202940,243.72602739726
121910,162425,202940,285.027397260274
81395,162425,202940,319.690410958904
40880,162425,202940,372.920547945205
365,162425,202940,453.386301369863
365000,121910,202940,108.158904109589
324485,121910,202940,112.572602739726
283970,121910,202940,118.465753424658
243455,121910,202940,126.808219178082
202940,121910,202940,139.868493150685
162425,121910,202940,166.219178082192
121910,121910,202940,239.216438356164
81395,121910,202940,265.717808219178
40880,121910,202940,303.227397260274
365,121910,202940,367.424657534247
365000,81395,202940,104.517808219178
324485,81395,202940,107.134246575342
283970,81395,202940,110.624657534247
243455,81395,202940,115.550684931507
202940,81395,202940,123.123287671233
162425,81395,202940,136.895890410959
121910,81395,202940,195.660273972603
81395,81395,202940,236.476712328767
40880,81395,202940,260.545205479452
365,81395,202940,303.682191780822
365000,40880,202940,108.868493150685
324485,40880,202940,110.147945205479
283970,40880,202940,111.854794520548
243455,40880,202940,114.254794520548
202940,40880,202940,117.895890410959
162425,40880,202940,124.167123287671
121910,40880,202940,138.564383561644
81395,40880,202940,217.682191780822
40880,40880,202940,235.616438356164
365,40880,202940,261.347945205479
365000,365,202940,117.115068493151
324485,365,202940,117.578082191781
283970,365,202940,118.186301369863
243455,365,202940,119.032876712329
202940,365,202940,120.27397260274
162425,365,202940,122.290410958904
121910,365,202940,126.172602739726
81395,365,202940,137.471232876712
40880,365,202940,226.082191780822
365,365,202940,234.441095890411
365000,365000,162425,206.652054794521
324485,365000,162425,266.964383561644
283970,365000,162425,675.27397260274
243455,365000,162425,692.846575342466
202940,365000,162425,714.334246575342
162425,365000,162425,741.454794520548
121910,365000,162425,776.18904109589
81395,365000,162425,821.465753424658
40880,365000,162425,882.487671232877
365,365000,162425,966.109589041096
365000,324485,162425,185.391780821918
324485,324485,162425,215.008219178082
283970,324485,162425,570.41095890411
243455,324485,162425,590.945205479452
202940,324485,162425,611.87397260274
162425,324485,162425,638.161643835616
121910,324485,162425,672.147945205479
81395,324485,162425,716.882191780822
40880,324485,162425,777.635616438356
365,324485,162425,861.230136986301
365000,283970,162425,166.86301369863
324485,283970,162425,186.67397260274
283970,283970,162425,224.495890410959
243455,283970,162425,487.342465753425
202940,283970,162425,510.378082191781
162425,283970,162425,535.731506849315
121910,283970,162425,568.632876712329
81395,283970,162425,612.53698630137
40880,283970,162425,672.86301369863
365,283970,162425,756.391780821918
365000,243455,162425,149.895890410959
324485,243455,162425,164.117808219178
283970,243455,162425,186.046575342466
243455,243455,162425,234.715068493151
202940,243455,162425,408.72602739726
162425,243455,162425,435.356164383562
121910,243455,162425,466.761643835616
81395,243455,162425,509.246575342466
40880,243455,162425,568.742465753425
365,243455,162425,652.052054794521
365000,202940,162425,134.186301369863
324485,202940,162425,144.460273972603
283970,202940,162425,158.967123287671
243455,202940,162425,182.350684931507
202940,202940,162425,242.972602739726
162425,202940,162425,339.498630136986
121910,202940,162425,370.246575342466
81395,202940,162425,409.808219178082
40880,202940,162425,467.098630136986
365,202940,162425,549.419178082192
365000,162425,162425,119.923287671233
324485,162425,162425,127.019178082192
283970,162425,162425,136.613698630137
243455,162425,162425,150.583561643836
202940,162425,162425,174.106849315069
162425,162425,162425,241.909589041096
121910,162425,162425,289.416438356164
81395,162425,162425,323.01095890411
40880,162425,162425,373.38904109589
365,162425,162425,451.049315068493
365000,121910,162425,107.73698630137
324485,121910,162425,112.109589041096
283970,121910,162425,117.923287671233
243455,121910,162425,126.109589041096
202940,121910,162425,138.758904109589
162425,121910,162425,163.106849315069
121910,121910,162425,236.717808219178
81395,121910,162425,265.013698630137
40880,121910,162425,302.134246575342
365,121910,162425,365.197260273973
365000,81395,162425,102.8
324485,81395,162425,105.378082191781
283970,81395,162425,108.813698630137
243455,81395,162425,113.641095890411
202940,81395,162425,121.016438356164
162425,81395,162425,134.2
121910,81395,162425,182.613698630137
81395,81395,162425,233.534246575342
40880,81395,162425,258.350684931507
365,81395,162425,301.715068493151
365000,40880,162425,107.624657534247
324485,40880,162425,108.884931506849
283970,40880,162425,110.569863013699
243455,40880,162425,112.931506849315
202940,40880,162425,116.506849315068
162425,40880,162425,122.641095890411
121910,40880,162425,136.545205479452
81395,40880,162425,213.928767123288
40880,40880,162425,232.961643835616
365,40880,162425,259.608219178082
365000,365,162425,117.054794520548
324485,365,162425,117.515068493151
283970,365,162425,118.12602739726
243455,365,162425,118.964383561644
202940,365,162425,120.205479452055
162425,365,162425,122.216438356164
121910,365,162425,126.087671232877
81395,365,162425,137.32602739726
40880,365,162425,224.52602739726
365,365,162425,232.821917808219
365000,365000,121910,200.446575342466
324485,365000,121910,240.561643835616
283970,365000,121910,716.797260273973
243455,365000,121910,730.282191780822
202940,365000,121910,746.895890410959
162425,365000,121910,768.298630136986
121910,365000,121910,796.47397260274
81395,365000,121910,834.495890410959
40880,365000,121910,888.060273972603
365,365000,121910,966.564383561644
365000,324485,121910,183.197260273973
324485,324485,121910,208.367123287671
283970,324485,121910,610.358904109589
243455,324485,121910,627.197260273973
202940,324485,121910,643.630136986301
162425,324485,121910,664.52602739726
121910,324485,121910,692.205479452055
81395,324485,121910,729.841095890411
40880,324485,121910,783.202739726027
365,324485,121910,861.687671232877
365000,283970,121910,167.060273972603
324485,283970,121910,185.005479452055
283970,283970,121910,217.72602739726
243455,283970,121910,521.808219178082
202940,283970,121910,540.898630136986
162425,283970,121910,561.350684931507
121910,283970,121910,588.32602739726
81395,283970,121910,625.380821917808
40880,283970,121910,678.413698630137
365,283970,121910,756.843835616438
365000,243455,121910,151.46301369863
324485,243455,121910,164.769863013699
283970,243455,121910,185.172602739726
243455,243455,121910,228.597260273973
202940,243455,121910,436.986301369863
162425,243455,121910,459.561643835616
121910,243455,121910,485.723287671233
81395,243455,121910,521.821917808219
40880,243455,121910,574.243835616438
365,243455,121910,652.495890410959
365000,202940,121910,136.252054794521
324485,202940,121910,146.095890410959
283970,202940,121910,159.997260273973
243455,202940,121910,182.38904109589
202940,202940,121910,239.446575342466
162425,202940,121910,359.923287671233
121910,202940,121910,387.098630136986
81395,202940,121910,421.457534246575
